date,apparentTemperatureMax,apparentTemperatureMin,cloudCover,dewPoint,humidity,moonPhase,pressure,temperatureMax,temperatureMin,visibility,windBearing,windSpeed,electric
1/1/2015,37.66,17.27,0.16,11.57,0.44,0.37,1034.36,43.73,23.85,6.08,325,5.92,2900575
1/2/2015,48,17.56,0.05,16.82,0.53,0.4,1030.63,49.37,22.27,4.2,98,1.24,3158211
1/3/2015,57.42,31.73,0.08,25.78,0.52,0.44,1022.37,57.42,34.95,3.26,150,4.93,3596487
1/4/2015,64,32.22,0.01,31.21,0.6,0.47,1017.43,64,32.22,2.76,118,3.16,3939672
1/5/2015,59.22,36.2,0.16,39.53,0.67,0.51,1013.71,59.22,41.12,1.86,197,2.21,4101790
1/6/2015,45.81,28.73,0.45,33.96,0.73,0.54,1024.85,49.9,34.95,3.53,0,11.24,4149164
1/7/2015,45,26.92,0.13,26.93,0.66,0.57,1029.57,45,31.95,4.19,328,5.79,4161928
1/8/2015,46,23.68,0.03,24.64,0.66,0.59,1032.5,48,27.85,2.7,317,3.74,4182622
1/9/2015,54.05,27.23,0,29.32,0.68,0.62,1029.94,54.05,29.9,2.14,242,2.04,4153509
1/10/2015,58.37,32.02,0.06,31.21,0.68,0.65,1027.76,58.37,32.02,1.9,236,2.48,3913704
1/11/2015,60.37,29.85,0.02,32.28,0.68,0.68,1029.58,60.37,29.85,2.23,39,3.67,3635468
1/12/2015,40.64,29.58,0.21,32.74,0.72,0.71,1034.87,45.95,36.05,3.81,71,9.16,4011329
1/13/2015,41.29,34.42,0.31,37.85,0.84,0.74,1030.82,44.73,39.57,3.62,67,7.32,3969860
1/14/2015,42.72,35.76,0.25,41.43,0.91,0.78,1027.94,45.95,42.11,2.67,345,6.61,4225259
1/15/2015,45.32,38.16,0.61,38.12,0.81,0.81,1028.2,46.11,40.12,2.4,314,5.66,4106437
1/16/2015,47.37,32.79,0.46,36.1,0.8,0.84,1027.87,47.37,36.22,1.73,291,4.76,4074699
1/17/2015,43,28.17,0.08,26.87,0.66,0.88,1033.78,43,32.71,3.38,35,4.34,4053950
1/18/2015,50.73,25.76,0.08,29.61,0.68,0.91,1027.3,50.73,30.91,2.34,253,5.06,3827153
1/19/2015,54.68,29.05,0.07,25.84,0.56,0.95,1028.61,54.68,32.85,3.3,358,1.42,4099085
1/20/2015,54.05,35.46,0.13,33.02,0.61,0.98,1023.94,54.05,40,4.39,122,6.91,4166022
1/21/2015,57.63,33.81,0.09,35.82,0.67,0.03,1022.62,57.63,38.9,2.22,282,6.03,4091559
1/22/2015,45.68,26.52,0.12,30.12,0.73,0.06,1026.55,45.68,31.48,2.02,322,5,4197553
1/23/2015,52.73,23.9,0.06,31.49,0.76,0.1,1022.76,52.73,27.74,1.49,112,4.12,4153027
1/24/2015,59.63,32.49,0.1,40.26,0.78,0.13,1021,59.63,36.85,1.36,99,5.47,3841539
1/25/2015,51.58,41.41,0.35,45.13,0.9,0.17,1021.68,51.58,44.16,0.79,287,3.43,3658452
1/26/2015,45.95,38.95,0.25,41.41,0.87,0.21,1024.99,47.27,42.67,1.26,10,5.75,3969836
1/27/2015,39.6,25.03,0.96,33.7,0.82,0.25,1030.36,45,32.63,2.88,32,10.23,4250943
1/28/2015,30.39,22.87,0.7,30.54,0.86,0.28,1030.63,36.85,31.9,3.36,47,8.55,4146675
1/29/2015,30.83,25.21,0.7,33.01,0.95,0.32,1028.87,36.22,32.52,2.72,21,7.04,4155199
1/30/2015,34.95,24.36,0.46,28.82,0.78,0.35,1033.1,39.63,31.9,2.48,339,7.31,4015565
1/31/2015,39.53,25.04,0.34,23.85,0.62,0.38,1036.95,40.9,31.27,5.84,8,7.23,3895604
2/1/2015,40.27,27.19,0.7,28.43,0.71,0.41,1034.88,40.27,33.84,6.04,50,4.66,3678729
2/2/2015,43.63,31.23,0.38,34.09,0.82,0.45,1032.73,43.63,34.22,3.82,51,4.33,3983918
2/3/2015,43.63,36.22,0.25,36.15,0.85,0.47,1031.76,43.63,37.5,2.87,344,3.71,3962811
2/4/2015,46.63,26.88,0.15,29.65,0.7,0.51,1030.08,46.63,31.48,1.79,300,5.78,3904604
2/5/2015,45,24.15,0.17,21.39,0.55,0.54,1032.37,45.05,29.9,4.34,328,7.07,3812319
2/6/2015,48,27.36,0.14,23.62,0.61,0.57,1028.02,48,29.56,4.51,199,2.47,3808081
2/7/2015,54.68,29.9,0.11,27.77,0.61,0.6,1025.35,54.68,29.9,3.26,316,1.52,3503405
2/8/2015,43,23.96,0.13,19.58,0.52,0.63,1034.66,43,28.81,5.34,8,11.12,3476838
2/9/2015,43,17.55,0.1,17.11,0.56,0.66,1033.63,43,24.58,5.63,26,2.26,3562045
2/10/2015,53.37,23.85,0.06,20.47,0.55,0.69,1023.31,53.37,23.85,5.3,196,2.73,3221193
2/11/2015,60.37,29.81,0.02,29.98,0.55,0.72,1015.79,60.37,33.58,4,247,6.21,2909801
2/12/2015,57.73,31.79,0.05,29.93,0.57,0.75,1019.26,57.73,35.48,2.71,346,2.81,2934951
2/13/2015,57.73,34.5,0.04,35.6,0.69,0.79,1020.92,57.73,37.58,2.28,109,5.79,2847925
2/14/2015,68.1,33.95,0.12,41.93,0.71,0.82,1017.75,68.1,38.85,2.09,136,6.43,2526925
2/15/2015,61.95,52.39,0.28,53.05,0.9,0.86,1015.14,61.95,52.39,2.21,210,3.51,2311930
2/16/2015,59,44.67,0.27,47.37,0.82,0.89,1019.28,59,44.67,1.99,301,6.16,2243961
2/17/2015,59.73,36.6,0.1,38.69,0.73,0.93,1022.19,59.73,40.9,1.52,66,5.15,2121020
2/18/2015,52.63,31.91,0.2,32.29,0.65,0.97,1027.97,52.63,36.94,3.4,57,8.49,1589939
2/19/2015,53.37,25.78,0.18,29.2,0.61,0.01,1027.76,53.37,32.22,5.51,90,9.66,1924576
2/20/2015,47.94,36.51,0.55,42.8,0.87,0.05,1018.29,48.53,42.33,3.72,127,8.98,1978058
2/21/2015,47.36,38.29,0.83,43.33,0.9,0.08,1017.76,48.53,44.02,2.11,303,6.41,2012807
2/22/2015,48,37.09,0.66,38.11,0.79,0.12,1023.02,48,40.9,2.19,354,4.64,2057151
2/23/2015,48,34.54,0.45,37.93,0.8,0.16,1021.98,49.37,38.37,3.23,88,5.71,2129969
2/24/2015,50.14,40.24,0.3,41.74,0.84,0.19,1018.98,50.14,43.11,3.14,105,5.37,2215586
2/25/2015,48.92,40.86,0.25,45.46,0.94,0.23,1017.68,48.92,45.32,2.72,88,3.97,2345116
2/26/2015,50.73,38.97,0.31,41.55,0.83,0.26,1022.93,50.73,43.09,2.42,56,7.93,2617715
2/27/2015,39.63,29.42,0.41,35.39,0.79,0.3,1027.38,45.32,38.15,4.68,83,13.5,2906772
2/28/2015,35.26,29.82,0.3,36.21,0.93,0.33,1026.05,39.63,36.93,4.48,34,8.09,1675678
3/1/2015,51.37,28.49,0.14,33.71,0.74,0.36,1026.88,51.37,34.85,3.98,301,6.46,2900464
3/2/2015,55.42,34.95,0.13,34.59,0.68,0.39,1018.19,55.42,34.95,3.33,147,6.12,3334082
3/3/2015,55.63,35.4,0.12,37.89,0.69,0.42,1017.64,55.63,40.47,3.6,317,6.46,3492606
3/4/2015,38.68,29.7,0.59,23.65,0.53,0.45,1027.92,44.37,34.88,7.12,39,7.35,3597890
3/5/2015,38.27,29.12,0.3,29.56,0.72,0.48,1027.38,40.27,36.01,5.64,70,7.87,1798044
3/6/2015,45.95,32.8,0.3,34.07,0.76,0.51,1024.89,45.95,36.37,4.8,51,4.03,1787992
3/7/2015,51.27,38.2,0.61,36.15,0.72,0.54,1023.81,51.27,38.2,3.72,114,4.29,3559113
3/8/2015,50,37.02,0.38,41.84,0.85,0.57,1020.3,50,41.3,3.72,100,3.33,2972454
3/9/2015,52.95,32.45,0.3,40.16,0.81,0.6,1029.15,52.95,38.53,3.34,5,8.97,3772564
3/10/2015,44.37,25.57,0.47,21.76,0.52,0.64,1033.73,44.37,32.49,7.18,45,6.52,3868938
3/11/2015,53.37,30.44,0.3,27.53,0.59,0.67,1026.93,53.37,30.44,4.83,174,2.77,3881363
3/12/2015,62.37,32.64,0.01,35.15,0.63,0.7,1020.98,62.37,34.95,3.65,184,4.41,3935078
3/13/2015,67.27,39.9,0.1,43.34,0.7,0.74,1019.1,67.27,42.24,3.28,199,2.8,3845654
3/14/2015,52.95,42.36,0.26,45.42,0.87,0.77,1022.61,52.95,46.33,1.58,77,7.51,3940997
3/15/2015,56.05,43.89,0.25,48.57,0.9,0.81,1020.59,56.05,45.51,1.91,97,6.86,3710792
3/16/2015,62.42,47.34,0.7,52.46,0.91,0.84,1017.4,62.42,49.59,2.53,115,6.22,3736062
3/17/2015,66.17,52.95,0.66,55.76,0.94,0.88,1011.48,66.17,52.95,1.45,100,5.99,3862429
3/18/2015,57.53,47.4,0.83,52.3,0.93,0.92,1010,57.53,49.29,2.8,324,6.97,3809448
3/19/2015,59.36,44.22,0.39,47.14,0.79,0.95,1017.59,59.36,48.53,2.66,2,5.06,3294148
3/20/2015,56.12,45.48,0.59,48.54,0.87,0.99,1020.55,56.12,49.03,2.34,47,4.12,2659507
3/21/2015,69.37,45.82,0.08,50.19,0.79,0.03,1020.95,69.37,47.22,2.3,259,3.31,3097831
3/22/2015,70,47.29,0.09,44.3,0.64,0.07,1024.08,70,48.63,3.07,78,5.21,3153864
3/23/2015,59.73,43.15,0.27,39.44,0.62,0.11,1028.5,59.73,46.99,5.59,77,10.63,3793539
3/24/2015,60.37,39.73,0.26,34.1,0.55,0.14,1033.04,60.37,43.17,6.65,100,9.03,3886598
3/25/2015,63.05,40.73,0.3,34.23,0.51,0.18,1032.95,63.05,44.1,7.86,112,11.17,3946979
3/26/2015,61,41.88,0.38,44.04,0.72,0.21,1030.61,61,45.84,5.84,104,9.58,3978091
3/27/2015,59.1,48.2,0.52,49.42,0.86,0.24,1026.47,59.1,48.81,3.42,68,3.3,3505012
3/28/2015,70.73,46.16,0.09,49.79,0.78,0.28,1018.61,70.73,47.41,2.96,185,2.95,3641733
3/29/2015,73.63,50.88,0.15,51.07,0.69,0.31,1016.86,73.63,50.88,2.89,136,4.38,3489199
3/30/2015,71.2,57.62,0.16,56.85,0.78,0.34,1012.52,71.2,57.62,3.5,137,8.93,3792338
3/31/2015,87.99,59.56,0.13,63.32,0.77,0.37,1009.86,85.37,59.56,3.58,155,3.8,3799367
4/1/2015,74.27,58.04,0.27,61.66,0.84,0.4,1010.02,74.27,58.04,2.23,75,10.19,3878931
4/2/2015,77.31,55.31,0.3,59.63,0.85,0.43,1000.71,77.31,55.31,3.25,172,4.37,3895444
4/3/2015,58.37,51.11,0.36,48.38,0.8,0.46,1009.77,58.37,51.11,2.71,44,7.29,3917458
4/4/2015,59.22,51.58,0.81,52.04,0.9,0.49,1010.24,59.22,51.58,2.28,72,3.9,3701865
4/5/2015,55.58,50.41,0.25,51.65,0.93,0.52,1015.13,55.58,50.41,1.75,41,5.61,3077103
4/6/2015,52.63,40.89,0.3,47.73,0.91,0.55,1022.57,52.63,45.95,3.37,25,9.52,3396784
4/7/2015,41.7,32.2,0.3,37.37,0.78,0.58,1029.68,46.32,38.27,6.17,23,9.12,3955773
4/8/2015,54,30.22,0.18,35.12,0.69,0.62,1028.56,54,36.85,4.54,16,4.35,3933520
4/9/2015,59.63,36.62,0.16,39.08,0.68,0.65,1024.17,59.63,38.38,4.07,103,4.78,3934117
4/10/2015,64,41.77,0.12,41.39,0.66,0.68,1024.1,64,42.78,4.03,36,2.98,3841726
4/11/2015,68,44.21,0.3,42.34,0.64,0.72,1024.32,68,44.21,3.3,106,5.65,3757337
4/12/2015,72,51.35,0.21,46.93,0.67,0.76,1020.46,72,51.35,4.03,10,1.1,3471838
4/13/2015,57.63,38.79,0.3,38.75,0.67,0.79,1020.54,57.63,44.48,5.1,292,12.15,3794991
4/14/2015,65.05,38.86,0.18,40.97,0.64,0.83,1014.84,65.05,45.57,4.49,276,11.55,3886747
4/15/2015,72.32,43.83,0.32,45.23,0.59,0.87,1010.68,72.32,47.22,5.25,206,5.82,3883621
4/16/2015,71.37,55.45,0.22,49.97,0.6,0.91,1013.38,71.37,55.45,4.62,0,2.48,3858169
4/17/2015,72.78,54.63,0.44,45.78,0.54,0.94,1013.29,72.78,54.63,5.83,119,11.15,3720202
4/18/2015,78.37,57.97,0.33,59.8,0.77,0.98,1007.12,78.37,57.97,3.8,141,4.44,3618044
4/19/2015,71.58,51.67,0.25,60.57,0.91,0.02,1006.9,71.58,51.67,2.47,350,4.8,3592847
4/20/2015,63.05,49.03,0.6,47.26,0.75,0.05,1014.43,63.05,49.03,4.72,342,9.77,3694081
4/21/2015,70,41.77,0.19,40.85,0.61,0.09,1018.77,70,42.33,4.06,244,0.7,3785960
4/22/2015,77.63,47.23,0.13,47.23,0.62,0.13,1020.88,77.63,47.23,4.62,166,2.18,3822967
4/23/2015,79.57,55.63,0.1,45.79,0.51,0.16,1020.24,81.05,55.63,4.85,156,5.2,3907020
4/24/2015,78.47,56.66,0.17,51.59,0.62,0.19,1019.99,78.47,56.66,3.66,139,2.57,3854392
4/25/2015,80.56,52.95,0.1,49.98,0.59,0.22,1019.94,82,52.95,3.43,131,3.81,3801188
4/26/2015,80.82,57.53,0.12,48.15,0.49,0.26,1017.3,83.05,57.53,4.59,142,7.63,3606876
4/27/2015,82.5,59.22,0.28,56.95,0.62,0.29,1010.85,82.42,59.22,5.41,157,6.43,3827721
4/28/2015,88.53,62.67,0.15,63.45,0.72,0.32,1007.53,87.37,62.67,3.62,221,2.8,3921793
4/29/2015,70.1,59.19,0.26,59.46,0.84,0.35,1013.01,70.1,59.19,4,336,6.01,3903749
4/30/2015,80.36,55.58,0.1,57.1,0.72,0.38,1013.49,80.37,55.58,3.22,79,2.32,3807190
5/1/2015,82.62,59.63,0.09,60.17,0.74,0.41,1010.28,81.78,59.63,3.31,111,8.78,2893128
5/2/2015,72.05,60.8,0.44,63.44,0.9,0.44,1006.54,72.05,60.8,2.82,123,3.43,2988003
5/3/2015,76.37,56.9,0.2,58.93,0.78,0.47,1012.13,76.37,56.9,3.2,326,6.72,3501631
5/4/2015,72.95,57.17,0.21,53.32,0.67,0.51,1015.94,72.95,57.17,3.7,56,5.94,3785149
5/5/2015,77.73,52.23,0.36,46.23,0.52,0.53,1011.79,77.73,52.23,6.53,133,5.87,3908821
5/6/2015,73.58,61,0.4,57.24,0.71,0.57,1009.11,73.58,61,4.13,114,4.73,3920908
5/7/2015,82.66,58.26,0.23,60.95,0.74,0.6,1011.77,81,58.26,2.59,138,4.67,3900211
5/8/2015,76.27,62.11,0.44,61.94,0.81,0.63,1008.71,76.27,62.11,2.5,118,7.17,3893473
5/9/2015,72.05,61.34,0.28,61.02,0.85,0.67,1012.76,72.05,61.34,3.61,68,6.03,3756578
5/10/2015,75.73,58.57,0.2,59.67,0.77,0.71,1013.7,75.73,58.57,3.32,108,9.77,3488394
5/11/2015,68,55.94,0.43,59.47,0.9,0.74,1009.59,68,55.94,3.68,236,4.06,3768083
5/12/2015,79,55,0.01,51.16,0.61,0.78,1009,79,55,5.71,248,12.12,3833756
5/13/2015,84.13,56.9,0.3,54.9,0.57,0.82,1006.32,85.37,56.9,7.36,201,7.31,3944756
5/14/2015,94.39,71.46,0.38,68.49,0.72,0.86,1006.91,87.47,71.46,6.36,210,7.4,4113033
5/15/2015,74.37,61.52,0.53,68.43,0.94,0.89,1008.98,74.37,61.52,3.85,60,0.97,3925658
5/16/2015,76.37,59.5,0.19,54.54,0.66,0.93,1013.53,76.37,59.5,4.35,55,4.78,3753444
5/17/2015,79.73,60.55,0.18,56.96,0.64,0.97,1008.12,79.73,60.55,4.53,126,7.09,3545599
5/18/2015,76.15,65.98,0.57,68.43,0.92,0.01,1004.09,76.15,65.98,1.69,104,0.94,3747294
5/19/2015,88.41,67.21,0.27,69.13,0.83,0.04,1006.66,84,67.21,2,132,3.62,3901643
5/20/2015,80.42,60.41,0.32,54.85,0.6,0.08,1013.49,82,60.41,4.09,40,7.79,3878744
5/21/2015,77.73,55.79,0.25,49.26,0.55,0.11,1016.02,77.73,55.79,7.23,105,7.01,3834144
5/22/2015,79.73,60.13,0.4,57.67,0.65,0.14,1011.89,79.73,60.13,5.5,119,6.47,3873964
5/23/2015,74.05,65.59,0.26,63.42,0.8,0.17,1009.5,74.05,65.59,3.8,96,4.73,3857605
5/24/2015,80.8,65.12,0.36,61.5,0.72,0.2,1009.22,80.42,65.12,4.21,89,4.75,3658025
5/25/2015,83.2,63.27,0.15,61.71,0.7,0.23,1009.97,83.05,63.27,3.9,112,5.96,3894369
5/26/2015,81.32,65.42,0.31,58.1,0.6,0.26,1010.08,80.37,65.42,4.52,113,8.3,3932831
5/27/2015,75.63,66.8,0.25,62.8,0.78,0.29,1006.42,75.63,66.8,3.91,103,7.61,3943848
5/28/2015,77.73,67.19,0.25,68.42,0.89,0.32,1005.06,77.73,67.19,2.61,74,5.25,3980124
5/29/2015,73.58,69.19,0.3,68.74,0.92,0.35,1004.56,73.58,69.19,2.77,104,7.16,3919808
5/30/2015,77.73,67.57,0.39,67.78,0.87,0.38,1007.17,77.73,67.57,3.52,341,5.63,3660404
5/31/2015,83.93,65.39,0.18,63.99,0.74,0.42,1008.73,83.78,65.39,3.69,106,3.4,3409681
6/1/2015,94.6,66.21,0.17,68.41,0.76,0.45,1006.51,88.1,66.21,2.15,128,6.57,3678089
6/2/2015,77.1,69.35,0.5,73.04,0.96,0.48,1004.49,77.1,69.35,1.79,107,4.91,3765956
6/3/2015,76.41,64.63,0.61,61.69,0.74,0.52,1012.41,76.41,64.63,5.19,44,6.6,3715689
6/4/2015,78.16,60.26,0.56,53.77,0.6,0.55,1010.15,78.16,60.26,6.96,123,4.75,3717902
6/5/2015,84.23,60.52,0.13,60.06,0.67,0.58,1006.18,83.71,60.52,5.19,237,4.69,3712017
6/6/2015,89.29,65.9,0.18,62.69,0.62,0.62,1007.76,90.04,65.9,4.02,153,7.17,3748581
6/7/2015,77.7,71.07,0.19,67.12,0.79,0.66,1007.87,77.7,71.07,4.18,130,6.62,3505473
6/8/2015,77.74,70.49,0.28,69.57,0.88,0.69,1005.45,77.74,70.49,3.22,48,2.27,3804096
6/9/2015,84.84,70,0.2,68.11,0.8,0.73,1005.99,81.68,70,3.47,151,4.16,3931900
6/10/2015,85.88,70.63,0.36,70.34,0.85,0.77,1003.99,81.05,70.63,3.43,147,4.75,4026655
6/11/2015,90.52,73.58,0.19,65.41,0.63,0.81,1002.98,90.05,73.58,4.49,244,8.5,4029529
6/12/2015,95.03,71.58,0.32,63.58,0.56,0.85,1004.73,95,71.58,4.75,229,7.54,4045499
6/13/2015,96.62,77.54,0.26,69.09,0.64,0.88,1003.58,90.68,77.54,5.3,223,7.57,3981977
6/14/2015,95.83,73.63,0.34,69.22,0.68,0.92,1006.8,90.68,73.63,4.96,219,4.52,3786307
6/15/2015,84.8,72.3,0.34,70.29,0.84,0.95,1007.74,80.37,72.3,3.07,111,3.7,4025300
6/16/2015,73,68.63,0.25,68.92,0.95,0.98,1005.54,73,68.63,2.2,87,6.88,3880740
6/17/2015,72.85,68.04,0.25,69.67,0.97,0.03,1002.16,72.85,68.04,3.37,76,4.19,3732340
6/18/2015,79.78,66.49,0.47,66.9,0.83,0.06,1005.96,79.78,66.49,4.99,56,4.78,3780395
6/19/2015,88.04,67.96,0.14,67.57,0.77,0.09,1008.34,84.42,67.96,3.69,129,4.31,3900360
6/20/2015,89.72,70,0.16,68.97,0.77,0.12,1009.08,86.1,70,3.05,109,3.7,3292730
6/21/2015,78.58,70.23,0.27,69.18,0.86,0.15,1009.42,78.58,70.23,2.48,117,4.86,3416254
6/22/2015,79.73,69.37,0.25,70.15,0.9,0.18,1007.2,79.73,69.37,3.17,113,5.57,3724890
6/23/2015,88.61,72.09,0.67,72.86,0.89,0.21,1008.25,81.95,72.09,2.36,77,6.81,3752153
6/24/2015,105.92,73.44,0.67,75.24,0.89,0.24,1004.57,90,73.44,2.06,83,6.81,3883363
6/25/2015,113.09,75.38,0.3,76.96,0.84,0.27,999.34,95,75.38,4.05,239,6.53,4029993
6/26/2015,76.97,72.95,0.3,72.73,0.94,0.3,1001.91,76.97,72.95,4.16,3,2.13,3961676
6/27/2015,73.63,70.25,0.3,70.67,0.96,0.33,1004.8,73.63,70.25,4.26,83,7.96,3732367
6/28/2015,73.84,69.29,0.3,70.11,0.95,0.37,1007.78,73.84,69.29,4.19,90,8.22,3459483
6/29/2015,94.43,71.78,0.41,73.93,0.94,0.4,1003.54,83.05,71.78,2.45,116,4.44,3775745
6/30/2015,96.87,70.08,0.29,74.3,0.92,0.43,999.74,83.85,70.08,3.76,298,4.61,3911804
7/1/2015,87.53,68.39,0.27,69.51,0.83,0.46,1000.97,83.05,68.39,3.99,231,1.39,2692956
7/2/2015,92.14,71.07,0.14,71.27,0.8,0.49,1002.51,86.73,71.07,3.07,152,2.92,3642866
7/3/2015,90.53,72.33,0.2,71.04,0.8,0.54,1005.94,85.37,72.33,1.66,93,5.34,4044005
7/4/2015,79.3,69.37,0.26,65.94,0.76,0.57,1009.18,79.3,69.37,3.85,128,4.89,3826577
7/5/2015,78.08,67.79,0.28,64.48,0.77,0.61,1010.26,78.08,67.79,4.87,115,6.95,3552897
7/6/2015,70.36,64,0.42,63.35,0.89,0.65,1010.71,70.36,64,4.11,59,5.27,3797621
7/7/2015,76.15,64,0.29,64.78,0.84,0.68,1008.91,76.15,64,4.18,27,6.84,3198852
7/8/2015,74.25,68.37,0.45,68.53,0.91,0.72,1009.91,74.25,68.37,3.1,28,5.02,3812753
7/9/2015,79,69.58,0.25,71.71,0.91,0.76,1010.65,79,69.58,2.55,41,6.9,3959028
7/10/2015,98.53,74.16,0.3,74.56,0.84,0.8,1008.81,87.37,74.16,4.3,51,11.67,4067013
7/11/2015,79.1,74.81,0.3,73.43,0.89,0.83,999.77,79.1,74.81,5.17,31,18.07,3851053
7/12/2015,96.08,73.63,0.3,73.23,0.83,0.87,996.26,87.37,73.63,5.72,286,11.12,3511131
7/13/2015,105.72,74.27,0.1,75.27,0.77,0.91,1001.14,93,74.27,3.32,222,3.36,4034339
7/14/2015,105.18,76.93,0.12,75.33,0.75,0.94,1002.62,93,76.93,2.81,121,3.91,3550189
7/15/2015,100.89,76.16,0.19,73.6,0.75,0.97,1002.68,92.05,76.16,2.85,102,6.99,4018448
7/16/2015,92.54,76.07,0.31,73.43,0.8,0.02,1002.32,84.63,76.07,3.84,107,9.26,4248386
7/17/2015,79.95,74.94,0.3,74.19,0.9,0.04,1003.76,79.95,74.94,3.19,110,9.08,4095465
7/18/2015,90.76,73.78,0.3,74.34,0.89,0.07,1004.89,83.27,73.78,3.79,117,7.67,3950332
7/19/2015,89.57,74.18,0.8,74.22,0.91,0.1,1006.94,82.48,74.18,3.11,88,7.12,3765951
7/20/2015,96.42,74.66,0.25,75.47,0.88,0.13,1006.82,85.27,74.66,2.69,82,4.4,4112606
7/21/2015,100.22,76.69,0.52,76.34,0.85,0.16,1005.9,86.73,76.69,2.92,90,4.96,4276542
